Order,Artist(s),Album,Type,Release Date,Cover Art,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence
100,BANKS,Serpentina,album,2022-04-08,https://i.scdn.co/image/ab67616d0000b27307bc42435df4facb4b844561,7,0.30644,0.53608,0.43152,0.00995,0.14938,-9.41231,0.10895,112.61185,0.27484
101,Dijon,Absolutely,album,2021-11-05,https://i.scdn.co/image/ab67616d0000b273a68442f97c3ad2dcba0beae6,66,0.59462,0.555,0.51192,0.02509,0.23169,-7.68742,0.06842,102.21308,0.50125
102,Fivio Foreign,B.I.B.L.E.,album,2022-04-08,https://i.scdn.co/image/ab67616d0000b273a46f8ecd34df3d45845a6c71,64,0.22677,0.64618,0.63935,0.0,0.21102,-7.12229,0.33553,131.05641,0.47419
103,Syd,Broken Hearts Club,album,2022-04-08,https://i.scdn.co/image/ab67616d0000b2735830ac641cfbbef9381ab0f8,54,0.32187,0.66585,0.42854,0.06224,0.14473,-8.90415,0.08353,109.85946,0.50045
104,Kilo Kish,AMERICAN GURL,album,2022-03-25,https://i.scdn.co/image/ab67616d0000b273814ff2f53547f2930b7cb7f6,52,0.07671,0.56021,0.72071,0.04,0.23104,-8.13043,0.08109,118.55157,0.34467
105,Ariana Grande,Sweetener,album,2018-08-17,https://i.scdn.co/image/ab67616d0000b273c3af0c2355c24ed7023cd394,82,0.22777,0.6872,0.552,1e-05,0.14294,-6.3936,0.06553,116.11567,0.46046
106,SEBii,VVYELLOW,album,2022-04-13,https://i.scdn.co/image/ab67616d0000b273df8601cbc8d4bd3a20b94e33,32,0.26383,0.70157,0.58371,6e-05,0.13117,-6.80386,0.0995,134.60629,0.67714
107,Beach Bunny,Blame Game,single,2021-01-15,https://i.scdn.co/image/ab67616d0000b273ede397d0d20c04eea8fff115,56,0.0491,0.5975,0.7765,0.00083,0.14672,-4.9415,0.0439,134.611,0.524
108,Various Artists,Fuck The World - ChopNotSlop,compilation,2020-02-28,https://i.scdn.co/image/ab67616d0000b273b8172fce8cfdc56f1e0233e7,36,0.5472,0.618,0.2598,0.00366,0.1923,-15.2732,0.17459,125.7575,0.4272
109,Kero Kero Bonito,Time 'n' Place,album,2018-10-01,https://i.scdn.co/image/ab67616d0000b2732432a36f607cad4f664d8c86,2,0.35749,0.57283,0.67825,0.07102,0.25023,-5.86142,0.06659,123.48875,0.42159
110,Omar Apollo,Ivory,album,2022-04-08,https://i.scdn.co/image/ab67616d0000b27390cf5d1ccfca2beb86149a19,77,0.48497,0.60813,0.36753,0.08992,0.17919,-11.07094,0.07147,124.48275,0.42938
111,"nothing,nowhere.",Trauma Factory,album,2021-02-19,https://i.scdn.co/image/ab67616d0000b2734514babd213d01633eb46d92,59,0.12212,0.59533,0.72967,0.0026,0.25414,-6.11167,0.08003,113.36093,0.40434
112,Pusha T,It's Almost Dry,album,2022-04-22,https://i.scdn.co/image/ab67616d0000b273e27dfef438562f2ecb98a642,69,0.19054,0.62325,0.76208,0.06451,0.22176,-4.23133,0.27145,111.28817,0.49039
