Order,Artist(s),Album,Type,Release Date,Cover Art,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence
186,Coast Contra,Apt. 505,album,2022-03-24,https://i.scdn.co/image/ab67616d0000b273de8e763df1c3c6475a4b500f,53,0.18337,0.72659,0.673,0.00079,0.20596,-7.00135,0.44141,115.12041,0.56532
187,Avril Lavigne,Let Go,album,2002-06-04,https://i.scdn.co/image/ab67616d0000b273f7ec724fbf97a30869d06240,79,0.01582,0.54577,0.77454,0.0022,0.18474,-5.83323,0.04467,121.79362,0.52431
188,Melt,West Side Highway,single,2021-02-19,https://i.scdn.co/image/ab67616d0000b27321a1082be1b445117b0febca,29,0.61317,0.54383,0.3915,0.00035,0.10755,-9.2135,0.03932,130.47983,0.3055
189,Brent Faiyaz,WASTELAND,album,2022-07-08,https://i.scdn.co/image/ab67616d0000b27353aa764ce919d8aea07947b4,85,0.4697,0.54268,0.40326,0.0313,0.14936,-11.15726,0.16881,115.25453,0.37245
190,Nia Sultana,Bigger Dreams,single,2022-06-02,https://i.scdn.co/image/ab67616d0000b273a34e71e73e9edf9b9730ab64,48,0.2993,0.58757,0.55,0.00024,0.13374,-7.97171,0.24313,89.18357,0.43271
191,YOASOBI,THE BOOK,album,2021-01-06,https://i.scdn.co/image/ab67616d0000b273684d81c9356531f2a456b1c1,78,0.15374,0.65978,0.78244,0.17844,0.30367,-5.85044,0.0367,124.00778,0.75344
192,Lupe Fiasco,DRILL MUSIC IN ZION,album,2022-06-24,https://i.scdn.co/image/ab67616d0000b273494d84adfd2b985cbeb202a4,53,0.4911,0.6259,0.6402,0.00735,0.1865,-7.9032,0.2801,111.6526,0.3862
193,100 gecs,1000 gecs,album,2019-05-31,https://i.scdn.co/image/ab67616d0000b2734123c0f9b6689205d20f350f,66,0.1387,0.586,0.5869,0.00245,0.34815,-7.0683,0.23546,121.0968,0.5787
194,"Rico Nasty,Kenny Beats",Anger Management,album,2019-04-25,https://i.scdn.co/image/ab67616d0000b273ea2f8f07a050f8dc9ff93de0,47,0.19927,0.74744,0.73567,0.0,0.2178,-6.09133,0.42089,122.39511,0.70978
195,Wet Leg,Wet Leg,album,2022-04-08,https://i.scdn.co/image/ab67616d0000b273ea1126a33b0fb88e79915262,72,0.00943,0.58575,0.72225,0.14995,0.23784,-5.59517,0.04472,133.67658,0.56933
196,Steve Lacy,Gemini Rights,album,2022-07-15,https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee,82,0.44272,0.5538,0.4768,0.23392,0.25096,-8.3328,0.03473,105.0932,0.488
197,"Terrace Martin,Robert Glasper,9th Wonder",Dinner Party,album,2020-07-10,https://i.scdn.co/image/ab67616d0000b2735557786a9c1b65b81c018551,60,0.12636,0.63586,0.63343,0.23919,0.13704,-7.00529,0.09767,101.11343,0.44943
198,Lizzo,Special,album,2022-07-15,https://i.scdn.co/image/ab67616d0000b273fe3b1b9cb7183a94e1aafd43,80,0.10987,0.693,0.67242,0.0,0.21762,-5.5375,0.07829,116.02492,0.6585
199,Benny The Butcher,Burden of Proof,album,2020-10-16,https://i.scdn.co/image/ab67616d0000b273329731739d6e673ba7b247da,60,0.19177,0.55317,0.835,0.0,0.23503,-3.68408,0.41008,125.14883,0.601
200,D'Angelo,Black Messiah,album,2014-12-15,https://i.scdn.co/image/ab67616d0000b2735fb07fa92d5d658edadf053a,55,0.21965,0.71483,0.54283,0.13673,0.14818,-9.674,0.20412,98.11992,0.56517
201,Jail Socks,It's Not Forever,single,2019-09-27,https://i.scdn.co/image/ab67616d0000b273edf912d322965b4db479dc14,33,0.00023,0.35383,0.939,0.0321,0.287,-4.77683,0.07018,147.1195,0.45883
202,Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager,album,2010-11-09,https://i.scdn.co/image/ab67616d0000b27359e842b6a3566a141f27f815,75,0.44235,0.66053,0.63347,0.33909,0.20341,-7.51759,0.07012,120.48947,0.51612
203,Emotional Oranges,The Juicebox,album,2021-06-11,https://i.scdn.co/image/ab67616d0000b2732003bcdae09401bf018407cb,55,0.2891,0.74887,0.5985,0.02019,0.10666,-7.5105,0.06941,99.90625,0.58362
204,midwxst,better luck next time.,single,2022-03-16,https://i.scdn.co/image/ab67616d0000b2730c9d9d22b83da08ec2d96e7f,49,0.23164,0.52389,0.68456,0.0,0.23778,-5.80589,0.09806,128.646,0.53044
205,Dayglow,Fuzzybrain,album,2019-11-14,https://i.scdn.co/image/ab67616d0000b273ccd63af052f7e438c05f6c94,11,0.16897,0.6139,0.605,0.20021,0.18455,-9.1944,0.04129,122.1114,0.6219
206,The Cool Kids,BEFORE SHIT GOT WEIRD,album,2022-03-03,https://i.scdn.co/image/ab67616d0000b2734025fd50aa6214cb67cf504a,36,0.21667,0.69681,0.76762,0.00011,0.23663,-6.70224,0.31883,125.55838,0.53233
207,Mustafa,When Smoke Rises,album,2021-05-28,https://i.scdn.co/image/ab67616d0000b273d72697075184379305b75bb5,48,0.9195,0.52338,0.23014,0.00668,0.158,-15.696,0.09295,123.51775,0.35796
208,The Weeknd,After Hours,album,2020-03-20,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,93,0.12229,0.50129,0.6405,0.01183,0.19356,-7.08593,0.06861,121.55293,0.25056
209,Flo Milli,"You Still Here, Ho ?",album,2022-07-20,https://i.scdn.co/image/ab67616d0000b27366a4bafe18cb6bdf4ecf3400,63,0.12488,0.90573,0.661,0.01026,0.11237,-6.10427,0.19237,128.9304,0.4836
210,Maggie Rogers,Surrender,album,2022-07-29,https://i.scdn.co/image/ab67616d0000b2730fdfb62956211c999c39a5a3,66,0.27073,0.50383,0.65692,0.05246,0.1586,-5.08208,0.04022,128.48917,0.2792
211,Rico Nasty,Las Ruinas,album,2022-07-22,https://i.scdn.co/image/ab67616d0000b273df9edb7f913cb49fd5abfbae,54,0.07565,0.61894,0.72388,0.04558,0.20126,-6.67794,0.13605,127.81812,0.3936
212,Joey Bada$$,2000,album,2022-07-22,https://i.scdn.co/image/ab67616d0000b273aacc3ddf3bfa01f4bd44cacc,70,0.18762,0.52207,0.77043,3e-05,0.19987,-5.7715,0.33357,124.73814,0.54079
213,Westside Gunn,Pray for Paris,album,2020-04-17,https://i.scdn.co/image/ab67616d0000b273a29bd588f4caf84bd4cd6f8b,63,0.46633,0.49267,0.67892,0.00025,0.37527,-6.76792,0.32639,103.8055,0.56042
214,black midi,Hellfire,album,2022-07-15,https://i.scdn.co/image/ab67616d0000b273079bc2bd9ea16956274efc24,55,0.29756,0.35156,0.81389,0.09222,0.35513,-4.46578,0.16951,117.75267,0.29482
215,SoFaygo,After Me,album,2020-12-17,https://i.scdn.co/image/ab67616d0000b273338d845a67c815d9843f39d1,59,0.17402,0.6385,0.63638,1e-05,0.19036,-8.99075,0.27074,128.73,0.39774
216,MF DOOM,MM...FOOD,album,2004-11-16,https://i.scdn.co/image/ab67616d0000b27352f194d02c39909d1b284799,78,0.26147,0.6036,0.75547,0.00037,0.45432,-6.96247,0.33,104.5468,0.753
217,midwxst,BACK IN ACTION 2.0,single,2021-12-15,https://i.scdn.co/image/ab67616d0000b273e89fbb655633212e92a86561,45,0.11339,0.59283,0.72567,0.0,0.23162,-5.86283,0.09944,136.30892,0.59808
218,Vince Staples,Big Fish Theory,album,2017-06-23,https://i.scdn.co/image/ab67616d0000b2737ba7b4d23c717f3211717946,60,0.1853,0.71533,0.60517,0.01307,0.19149,-8.12142,0.17146,115.4215,0.34566
219,beabadoobee,Beatopia,album,2022-07-15,https://i.scdn.co/image/ab67616d0000b273384d10f967c2b914de7e2713,77,0.38111,0.51464,0.60364,0.17154,0.1623,-8.04893,0.03661,121.51043,0.40035
220,Mac Miller,Watching Movies with the Sound Off (Deluxe Edition),album,2013-06-18,https://i.scdn.co/image/ab67616d0000b273d4300bedba646965fa7e1953,63,0.27421,0.54937,0.70716,0.00011,0.28226,-6.57237,0.25245,123.87763,0.38816
221,Bobby Shmurda,Bodboy,album,2022-08-05,https://i.scdn.co/image/ab67616d0000b2735d71d24290ccc6bc9063bb8d,37,0.06878,0.73678,0.73933,0.0,0.2104,-6.38344,0.27889,132.21989,0.43307
222,JAY-Z,The Blueprint (Explicit Version),album,2001-09-11,https://i.scdn.co/image/ab67616d0000b2731b3f6f34954118500ed3e7a7,68,0.09922,0.66413,0.8284,0.00027,0.16266,-4.54893,0.32507,96.55153,0.67433
223,BAYNK,A STUDY IN MOVEMENT,single,2020-07-01,https://i.scdn.co/image/ab67616d0000b273ad0a65f52da600d0b5d73e81,21,0.4086,0.76,0.534,0.25115,0.21723,-9.2915,0.10088,120.363,0.23187
224,Death Cab for Cutie,Plans,album,2005-08-29,https://i.scdn.co/image/ab67616d0000b273c985bcc18dd81da80839e5a9,64,0.39812,0.52582,0.52782,0.08927,0.10499,-9.82155,0.03175,125.06145,0.36831
225,Megan Thee Stallion,Traumazine,album,2022-08-12,https://i.scdn.co/image/ab67616d0000b2731182d680c2894b4e0f39033e,75,0.10099,0.86156,0.70794,2e-05,0.13419,-5.26417,0.26397,130.34628,0.59794
226,The Front Bottoms,The Front Bottoms,album,2011-09-06,https://i.scdn.co/image/ab67616d0000b273bed701e3d0248841aaa3c06c,60,0.04864,0.59192,0.81008,0.00031,0.18702,-4.96892,0.05572,141.86933,0.59633
227,A$AP Mob,Cozy Tapes Vol. 2: Too Cozy,album,2017-08-25,https://i.scdn.co/image/ab67616d0000b2735522025c7f727c540839f7d5,66,0.3026,0.74318,0.62612,0.00205,0.20912,-6.95724,0.31048,118.15565,0.38064
228,Billie Eilish,dont smile at me,single,2017-12-22,https://i.scdn.co/image/ab67616d0000b273a9f6c04ba168640b48aa5795,85,0.57044,0.61444,0.37989,0.01213,0.16846,-10.01944,0.13127,126.35211,0.25804
229,Playboi Carti,Die Lit,album,2018-05-11,https://i.scdn.co/image/ab67616d0000b273a1e867d40e7bb29ced5c0194,84,0.08265,0.75968,0.656,1e-05,0.22135,-6.14516,0.17738,135.60784,0.41137
230,Spencer.,Want U Back EP,single,2018-09-28,https://i.scdn.co/image/ab67616d0000b273c8cbf60fd7682d2acb21faff,32,0.25338,0.57033,0.67133,0.00683,0.36667,-7.468,0.04387,132.763,0.48433
231,Topaz Jones,Don't Go Tellin' Your Momma,album,2021-04-23,https://i.scdn.co/image/ab67616d0000b273878c00e187d18c63267e0d37,51,0.33989,0.58631,0.75508,0.0,0.37446,-5.74162,0.30108,113.46046,0.61362
232,Sufjan Stevens,Carrie & Lowell,album,2015-03-31,https://i.scdn.co/image/ab67616d0000b273820e2ac14772ae3162c6d479,76,0.96682,0.46291,0.14574,0.19172,0.13518,-21.78773,0.04027,124.40845,0.29046
233,Kenny Mason,PUP PACK EP,single,2022-08-17,https://i.scdn.co/image/ab67616d0000b27345686e9f92fc613b5d0d178c,37,0.32567,0.72733,0.59167,0.00753,0.09977,-8.90833,0.24433,109.87333,0.502
234,Fireboy DML,Playboy,album,2022-08-04,https://i.scdn.co/image/ab67616d0000b273a15480eec7fa4085d83ddb2d,74,0.26216,0.72107,0.618,0.00187,0.10484,-6.19036,0.11294,145.83514,0.68021
235,Chief Keef,4NEM,album,2021-12-17,https://i.scdn.co/image/ab67616d0000b273db41eb0dcc452e8080559bc1,3,0.15211,0.55353,0.7512,0.00112,0.21895,-4.97073,0.13961,139.16267,0.35735
236,Dion Timmer,Enter Achroma,album,2020-03-27,https://i.scdn.co/image/ab67616d0000b273d20ce3ac3592efb421f0297c,34,0.0693,0.53029,0.93107,0.10658,0.43686,-1.46071,0.18021,129.68036,0.26871
237,Beyoncé,RENAISSANCE,album,2022-07-29,https://i.scdn.co/image/ab67616d0000b2730e58a0f8308c1ad403d105e7,88,0.063,0.7295,0.66575,0.00356,0.26079,-7.24894,0.13819,117.673,0.42966
238,Baird,"BIRDSONGS, Vol. 3",album,2022-03-25,https://i.scdn.co/image/ab67616d0000b2733d5e685a60c0d77ea57e35d5,48,0.30309,0.55057,0.64414,0.14882,0.12973,-8.83443,0.11019,115.22357,0.495
239,Steve Lacy,Steve Lacy's Demo,single,2017-02-24,https://i.scdn.co/image/ab67616d0000b273a31dd5d96b9df819e331fdcb,4,0.16738,0.67917,0.81333,0.06637,0.14913,-5.364,0.08373,127.2325,0.63817
240,Drego & Beno,Sorry We Was Trapping,album,2022-08-26,https://i.scdn.co/image/ab67616d0000b2735045ec15ce7a1195d8c46b75,50,0.03129,0.74367,0.67617,0.00358,0.18933,-9.13,0.21698,111.75142,0.32449
241,DJ Khaled,GOD DID,album,2022-08-26,https://i.scdn.co/image/ab67616d0000b273b1038aaf26f4c6daad614707,74,0.07263,0.59771,0.68047,0.0,0.27112,-5.36741,0.17758,123.53288,0.36099
242,Tierra Whack,Rap?,single,2021-12-02,https://i.scdn.co/image/ab67616d0000b273cc4a43dade24cdfbf776a40a,37,0.43333,0.787,0.51867,0.00087,0.20133,-7.95133,0.16217,100.01133,0.659
243,Nia Archives,Forbidden Feelingz,single,2022-03-10,https://i.scdn.co/image/ab67616d0000b27333ccb546bc77361ea5ba2431,42,0.168,0.53617,0.829,0.40867,0.17698,-7.35783,0.1538,156.27217,0.44383
244,JID,The Forever Story,album,2022-08-26,https://i.scdn.co/image/ab67616d0000b2736de37e432e720323f4e31edc,26,0.30128,0.62247,0.55713,0.0,0.18077,-8.4652,0.31833,111.9074,0.4802
245,Kenny Beats,LOUIE,album,2022-08-31,https://i.scdn.co/image/ab67616d0000b27363af9bcfdea6df60f73d2ade,66,0.24961,0.65794,0.63759,0.2909,0.38216,-8.15294,0.17686,125.40853,0.611
246,Moses Sumney,Aromanticism,album,2017-09-22,https://i.scdn.co/image/ab67616d0000b273478d01e5e5b78a6791036e5f,49,0.83591,0.34555,0.26385,0.07892,0.13791,-13.42464,0.04173,127.50455,0.14375
247,DOMi & JD BECK,NOT TiGHT,album,2022-07-29,https://i.scdn.co/image/ab67616d0000b2738569040f689c3249eeb04345,59,0.708,0.53867,0.61127,0.7888,0.12071,-11.7334,0.08997,131.30507,0.51141
248,Yeek,IDK WHERE,single,2019-05-10,https://i.scdn.co/image/ab67616d0000b273bf73f0ac1f71682725d4f61c,0,0.55367,0.74867,0.57033,0.00145,0.14065,-6.15583,0.06282,111.6655,0.54167
249,Yves Tumor,The Asymptotical World EP,single,2021-07-15,https://i.scdn.co/image/ab67616d0000b2733cb460f372c84a76dda0001d,15,0.00332,0.43833,0.87317,0.2312,0.36183,-5.26633,0.10648,125.21,0.4198
250,Lil Uzi Vert,RED & WHITE,single,2022-07-23,https://i.scdn.co/image/ab67616d0000b273ce343ef5dea57f5873e83cf3,64,0.12986,0.6902,0.5918,0.0,0.12004,-6.0104,0.14686,132.81,0.17238
251,The Garden,HORSESHIT ON ROUTE 66,album,2022-09-08,https://i.scdn.co/image/ab67616d0000b2737f3fa1e713d51cd0d529ade9,57,0.03328,0.44264,0.93991,0.23923,0.31355,-5.31491,0.16282,126.14936,0.45307
252,midwxst,BACK IN ACTION 3.0,single,2022-09-07,https://i.scdn.co/image/ab67616d0000b273e20032be410dd1dd2b1d2190,59,0.04549,0.56411,0.76589,0.0,0.31264,-4.608,0.09,123.71244,0.39578
253,Julia Jacklin,PRE PLEASURE,album,2022-08-26,https://i.scdn.co/image/ab67616d0000b2732b7f7be7354d5478919f715c,4,0.58967,0.532,0.38102,0.00988,0.12438,-11.1433,0.03492,109.1986,0.42351
254,Ari Lennox,age/sex/location,album,2022-09-09,https://i.scdn.co/image/ab67616d0000b273ad2581186f60e949860d0d84,63,0.36455,0.65492,0.45092,0.01385,0.17802,-8.88508,0.10687,120.18183,0.42542
255,Oasis,(What's The Story) Morning Glory?,album,1995-10-02,https://i.scdn.co/image/ab67616d0000b2732f2eeee9b405f4d00428d84c,71,0.12415,0.31292,0.90325,0.15585,0.31998,-4.12208,0.06662,144.24183,0.23067
256,Ariana Grande,Positions,album,2020-10-30,https://i.scdn.co/image/ab67616d0000b2735ef878a782c987d38d82b605,84,0.27054,0.65864,0.57864,0.0,0.15069,-6.11671,0.09861,121.88879,0.44069
257,Buddy,Superghetto,album,2022-03-25,https://i.scdn.co/image/ab67616d0000b273e5fdc577cd4e93c2c78ad374,45,0.21312,0.7461,0.5852,0.00378,0.16647,-8.6597,0.16452,125.3985,0.57803
258,Drake,Take Care (Deluxe),album,2011-11-15,https://i.scdn.co/image/ab67616d0000b273c7ea04a9b455e3f68ef82550,84,0.29133,0.52774,0.48858,0.00013,0.24569,-10.91863,0.22959,138.22563,0.37247
259,Stella Donnelly,Flood,album,2022-08-26,https://i.scdn.co/image/ab67616d0000b273388a71c460ab3b2532bdf26c,37,0.59508,0.56036,0.34755,0.12166,0.12658,-13.76291,0.03441,122.78091,0.37294
260,BLACKPINK,BORN PINK,album,2022-09-16,https://i.scdn.co/image/ab67616d0000b2734aeaaeeb0755f1d8a8b51738,81,0.09565,0.72787,0.63938,0.0,0.20597,-6.02787,0.06554,122.5055,0.57812
261,EST Gee,I Never Felt Nun,album,2022-09-16,https://i.scdn.co/image/ab67616d0000b273a4147904b94983cec71e5ba6,67,0.06472,0.63395,0.69395,6e-05,0.19829,-7.27343,0.25995,136.28738,0.47281
262,"Symba,DJ Drama",Results Take Time,album,2022-09-16,https://i.scdn.co/image/ab67616d0000b273e41a871af9b6b1be6bebbf31,48,0.21307,0.6515,0.65163,0.0,0.21776,-5.49456,0.28157,100.93169,0.39961
263,Sky Ferreira,"Night Time, My Time",album,2013-01-01,https://i.scdn.co/image/ab67616d0000b27306b4e064a2b9849047f3a807,50,0.05646,0.45983,0.84092,0.09531,0.3507,-4.86133,0.04585,123.147,0.48975
264,Mura Masa,demon time,album,2022-09-16,https://i.scdn.co/image/ab67616d0000b273a620fd20b220c4bf513b40e5,56,0.23946,0.77173,0.596,0.00324,0.17723,-6.70227,0.15126,115.97927,0.64609
265,AG Club,Impostor Syndrome,album,2022-09-16,https://i.scdn.co/image/ab67616d0000b273c89a2be14bbf9ba8c125763a,46,0.36891,0.59023,0.53238,0.05741,0.15017,-9.94969,0.22284,117.17238,0.4465
266,Playboi Carti,Playboi Carti,album,2017-04-14,https://i.scdn.co/image/ab67616d0000b273e31a279d267f3b3d8912e6f1,82,0.1298,0.79153,0.60147,1e-05,0.26353,-6.09687,0.27779,136.53533,0.45973
267,Blood Orange,Four Songs,single,2022-09-16,https://i.scdn.co/image/ab67616d0000b2738cc5619fc149077a17d772ad,53,0.38362,0.66425,0.60025,0.50425,0.19875,-12.323,0.04072,118.9815,0.213
268,"Career Woman,Small Crush",Unfun / Sleep In,single,2022-08-17,https://i.scdn.co/image/ab67616d0000b273b4486ec3f08623f4285e7114,23,0.00172,0.4655,0.858,1e-05,0.0995,-5.114,0.0516,132.9785,0.3945
269,Rina Sawayama,Hold The Girl,album,2022-09-16,https://i.scdn.co/image/ab67616d0000b273104771507d9c63da11abb6dc,65,0.12408,0.46031,0.77008,0.00478,0.22058,-4.66223,0.05845,134.25123,0.30746
270,Trapo,Oil Change,album,2018-08-02,https://i.scdn.co/image/ab67616d0000b273cb9091fea57969fda26fdaed,40,0.70472,0.56383,0.64575,0.08363,0.1383,-9.40767,0.27688,104.45608,0.52025
271,Smino,blkswn,album,2017-03-14,https://i.scdn.co/image/ab67616d0000b2738be32b380765207f19d56435,67,0.56611,0.6505,0.50944,0.00387,0.24919,-8.63556,0.45511,99.49894,0.56444
272,42 Dugg,Free Dem Boyz,album,2021-05-21,https://i.scdn.co/image/ab67616d0000b2735cc589330e3596c853863484,72,0.08491,0.77211,0.60179,0.0,0.14956,-8.62732,0.29051,115.14121,0.50353
273,"Placeholder,Jail Socks",Placeholder // Jail Socks,single,2018-06-14,https://i.scdn.co/image/ab67616d0000b273579bec07efa8891e4a94123a,20,0.00112,0.38825,0.89675,0.0772,0.23913,-5.50225,0.04788,111.93625,0.51175
274,Freddie Gibbs,$oul $old $eparately,album,2022-09-30,https://i.scdn.co/image/ab67616d0000b2739f301e3a4d5f25d1888585b1,61,0.34746,0.68927,0.6744,1e-05,0.28435,-6.62107,0.35315,95.3832,0.53273
275,Father,Young Hot Ebony 2,album,2022-06-10,https://i.scdn.co/image/ab67616d0000b273576f1e749948576976f0c816,42,0.30835,0.73517,0.50942,0.00033,0.24025,-12.44517,0.25898,116.88683,0.51792
276,"Nicholas Craven,Boldy James",Fair Exchange No Robbery,album,2022-09-30,https://i.scdn.co/image/ab67616d0000b273519ddd92fb3b4e0707f299b5,46,0.6691,0.4742,0.64,0.00083,0.34796,-7.9098,0.2604,117.5093,0.6389
277,Ghais Guevara,There Will Be No Super-Slave,album,2022-07-16,https://i.scdn.co/image/ab67616d0000b273cc5a2be3bd81f71922127163,40,0.28971,0.49773,0.82133,0.00225,0.28117,-6.1534,0.21759,117.89833,0.39814
278,That Kid,Superstar,album,2022-09-22,https://i.scdn.co/image/ab67616d0000b273bcbd0a70cf1f2176f5105380,37,0.11201,0.53962,0.79477,0.02453,0.3675,-7.39485,0.21517,139.03115,0.53515
279,Venna,VENOLOGY,single,2021-09-03,https://i.scdn.co/image/ab67616d0000b273869d8bd0ab5bd8ab316f2e98,52,0.38297,0.62433,0.65717,0.20566,0.254,-7.88967,0.13808,110.98833,0.51617
280,Jeff Rosenstock,WORRY.,album,2016-10-14,https://i.scdn.co/image/ab67616d0000b273649a3a7d78c5ff15f2665e97,52,0.0931,0.38612,0.763,0.0,0.36688,-5.56919,0.06027,135.70175,0.44388
281,Alex Vaughn,The Hurtbook,album,2022-10-07,https://i.scdn.co/image/ab67616d0000b2737f956368229f2bb7d632387e,51,0.31238,0.65875,0.57137,2e-05,0.12194,-6.28437,0.15121,125.02712,0.393
282,"Quavo,Takeoff",Only Built For Infinity Links,album,2022-10-07,https://i.scdn.co/image/ab67616d0000b273ffe5b62233340cb6d453fc2f,77,0.13112,0.81111,0.57417,1e-05,0.20201,-6.95017,0.20966,140.40561,0.43741
283,serpentwithfeet,soil,album,2018-06-08,https://i.scdn.co/image/ab67616d0000b27301b9890d2cb2be3877fa7dae,33,0.59973,0.44755,0.44027,9e-05,0.13797,-9.46891,0.06608,104.63427,0.24082
284,Jean Dawson,CHAOS NOW*,album,2022-10-07,https://i.scdn.co/image/ab67616d0000b273d7ecc179dbc1ee9c57c97c26,55,0.1275,0.48575,0.74283,0.03225,0.24156,-5.19717,0.05582,131.4785,0.37333
285,ABRA,PRINCESS,single,2016-07-15,https://i.scdn.co/image/ab67616d0000b273445210241a384e02742ad71e,46,0.05234,0.713,0.51383,0.19359,0.08905,-8.89733,0.07715,130.27917,0.648
286,DDG,It's Not Me It's You,album,2022-09-30,https://i.scdn.co/image/ab67616d0000b27365b69c463162e0ce5e23e42b,60,0.28117,0.72109,0.51973,0.00023,0.19348,-8.38691,0.28565,115.67091,0.41385
287,The 1975,Being Funny In A Foreign Language,album,2022-10-14,https://i.scdn.co/image/ab67616d0000b2731f44db452a68e229650a302c,82,0.46813,0.58182,0.65527,0.10794,0.15675,-7.73618,0.04768,120.78691,0.67855
288,JON VINYL,PALISADE,single,2022-10-14,https://i.scdn.co/image/ab67616d0000b2739bda58644ed8e27deec627b4,49,0.6442,0.6798,0.4866,2e-05,0.1182,-7.4392,0.07722,118.9106,0.4252
289,Tove Lo,Dirt Femme,album,2022-10-14,https://i.scdn.co/image/ab67616d0000b273d5c0f77cf4c6ad252b9e082a,69,0.13957,0.66975,0.63442,0.06863,0.16683,-6.95925,0.05784,115.87833,0.39453
290,Sleeping With Sirens,"If you were a movie, this would be your soundtrack",single,2012-06-26,https://i.scdn.co/image/ab67616d0000b273667873398f8fc27e8da5a125,58,0.19442,0.5998,0.5662,0.0,0.165,-6.7826,0.03882,110.7042,0.383
291,Dua Saleh,ROSETTA,single,2020-06-12,https://i.scdn.co/image/ab67616d0000b273e750cb4ef38953085c7a580e,39,0.57433,0.4615,0.50267,0.0584,0.21452,-8.8135,0.08498,117.17367,0.39683
292,Tee Grizzley,Chapters Of The Trenches,album,2022-10-14,https://i.scdn.co/image/ab67616d0000b2737485d5be2f1fd99a22e46161,57,0.09895,0.81331,0.66938,1e-05,0.15119,-7.53692,0.27469,108.34354,0.43235
293,Lil Baby,It's Only Me,album,2022-10-14,https://i.scdn.co/image/ab67616d0000b27366b04b41fa6f8908dce86695,83,0.04179,0.69348,0.53287,1e-05,0.15046,-7.25583,0.29789,121.20922,0.24983
294,PawPaw Rod,A PawPaw Rod EP,single,2021-09-15,https://i.scdn.co/image/ab67616d0000b27361c31fe82c1a19407e9de7ee,53,0.19487,0.76875,0.5405,0.0016,0.10967,-7.65125,0.19773,165.09775,0.83275
295,Koffee,Rapture EP,single,2019-03-14,https://i.scdn.co/image/ab67616d0000b273dca1f17bc5ae38d946571386,63,0.13437,0.719,0.6868,0.0,0.1151,-7.1072,0.26098,108.3246,0.6312
296,Tems,For Broken Ears,album,2020-09-25,https://i.scdn.co/image/ab67616d0000b2730ab4d3e1c0b5c5e453287a4c,75,0.54014,0.61771,0.4224,8e-05,0.17463,-10.40457,0.31114,130.06157,0.54414
297,WILLOW,<COPINGMECHANISM>,album,2022-10-07,https://i.scdn.co/image/ab67616d0000b2731d13addda541bcf23ea27e0d,63,0.09232,0.498,0.75709,0.00729,0.22315,-11.12455,0.0706,145.661,0.62682
298,"Jeezy,DJ Drama",SNOFALL,album,2022-10-21,https://i.scdn.co/image/ab67616d0000b273ee5fb5d0e86ba14b23f19aa6,58,0.09107,0.65276,0.77365,0.0,0.48372,-4.71312,0.21826,115.32629,0.39195
299,MAVI,Let the Sun Talk,album,2019-10-18,https://i.scdn.co/image/ab67616d0000b273655aaf07642a3042adb4ae89,65,0.32621,0.44938,0.63577,0.05047,0.37492,-9.88477,0.27756,106.70108,0.47356
300,Montell Fish,Her Love Still Haunts Me Like a Ghost,album,2022-10-28,https://i.scdn.co/image/ab67616d0000b273f46e995aa84c6eb1080100a4,69,0.71329,0.53586,0.55657,0.0089,0.22714,-4.27943,0.08754,131.405,0.318
301,BabyTron,Bin Reaper 3: Old Testament,album,2022-10-28,https://i.scdn.co/image/ab67616d0000b273cb0d1b03b789499d1ef77d53,62,0.06883,0.6888,0.6522,0.0,0.35116,-8.1698,0.31233,121.49473,0.42324
302,Smino,Luv 4 Rent,album,2022-10-28,https://i.scdn.co/image/ab67616d0000b273d7bae4ad0b91f65e0dd910c8,70,0.48173,0.58487,0.57093,0.05862,0.28525,-8.638,0.22483,121.552,0.41333
303,Westside Gunn,10,album,2022-10-28,https://i.scdn.co/image/ab67616d0000b2731c08f68bdfd2f24e84acf7a2,58,0.31208,0.47875,0.69025,0.0,0.349,-6.12658,0.20703,105.0365,0.49642
304,Joyce Wrice,Motive,single,2022-10-07,https://i.scdn.co/image/ab67616d0000b27393e400cb18f8b33d7eab1c16,43,0.18944,0.6576,0.7442,3e-05,0.18436,-5.4598,0.14566,98.8176,0.624
305,dvsn,Working On My Karma,album,2022-10-28,https://i.scdn.co/image/ab67616d0000b273c4fd23032dae386e69124ac6,19,0.18747,0.65767,0.56892,0.0,0.19863,-5.9915,0.06703,117.56775,0.485
306,"piri,Tommy Villiers,piri & tommy",froge.mp3,album,2022-10-21,https://i.scdn.co/image/ab67616d0000b273bcf683bad9ca8297e76f2408,63,0.31599,0.69733,0.666,0.10924,0.14821,-8.12683,0.06882,125.01975,0.74175
307,JPEGMAFIA,All My Heroes Are Cornballs,album,2019-09-13,https://i.scdn.co/image/ab67616d0000b273c0f5083c53e881de8dec3d70,60,0.3718,0.553,0.70261,0.0297,0.30878,-5.73611,0.27288,116.04267,0.36503
308,"Drake,21 Savage",Her Loss,album,2022-11-04,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,92,0.09534,0.69169,0.54212,3e-05,0.24673,-8.15825,0.24801,120.9485,0.29013
